data_format,access,associated_entities,file_name,submitter_id,data_category,annotations,file_size,md5sum,file_id,data_type,state,experimental_strategy,GNA11,BTK,HRAS,RNF43,AKT2,EGFR,ARID1A,ERBB4,EZH2,MAP2K2,DDR2,NOTCH3,CREBBP,MAPK1,MYCN,RAC1,SMARCB1,TSC2,CDK6,FGFR2,PTCH1,MYD88,CBL,GNAQ,PPP2R1A,TOP1,NTRK1,NFE2L2,NOTCH2,MYC,CHEK2,MAGOH,PDGFRA,BRAF,ATM,fle_name_h5,TCGA ID
SVS,open,"[{'entity_submitter_id': 'TCGA-61-1903-01A-01-BS1', 'entity_type': 'slide', 'case_id': 'b3df9c0a-420c-4cc2-a3e0-56df1ed7e997', 'entity_id': '77116a06-9e30-4bf6-8854-6a81ba8ed9e3'}]",TCGA-61-1903-01A-01-BS1.77116a06-9e30-4bf6-8854-6a81ba8ed9e3.svs,TCGA.61.1903,Biospecimen,"[{'entity_submitter_id': 'TCGA-61-1903', 'notes': '[schaefc]: Pathology indicates Stage I disease', 'submitter_id': '688', 'classification': 'Observation', 'entity_id': 'b3df9c0a-420c-4cc2-a3e0-56df1ed7e997', 'created_datetime': '2010-07-30T00:00:00', 'annotation_id': 'efd8f60f-30b8-5254-9731-95e21d770ce2', 'entity_type': 'case', 'updated_datetime': '2018-08-23T16:40:40.694077-05:00', 'case_id': 'b3df9c0a-420c-4cc2-a3e0-56df1ed7e997', 'state': 'released', 'category': 'Item may not meet study protocol', 'status': 'Approved', 'case_submitter_id': 'TCGA-61-1903'}]",200210513,05da084e2d65c34aa87bf865483f8b6d,13c2fa97-02ed-4442-aad8-9c4e6b365adc,Slide Image,released,Tissue Slide,1.9767302913951994,1.8108592351959867,2.1166771126646706,1.8649169898457814,2.0599273727755336,1.9396477237966585,1.994985986701906,1.6057511245761051,2.173114017542471,2.1424867608968854,1.7512846366623367,2.1935288677176037,2.0403628184455087,2.11114609839519,2.0428553551117923,2.212901056721227,2.094625677004876,2.0009663548033916,1.6445540595233779,2.017113908061645,1.9332590315017544,2.0309469588219438,1.9281098015726252,2.207504886743776,2.229928374953772,2.0968024649512738,1.7994299755322745,2.0292397566423173,2.1215067630732043,2.0642898320790763,1.9880935022205304,2.127314618786784,1.637130897450849,2.0500384773105194,1.7864956395529559,TCGA-61-1903-01A-01-BS1.77116a06-9e30-4bf6-8854-6a81ba8ed9e3.h5,TCGA-61-1903-01A
SVS,open,"[{'entity_submitter_id': 'TCGA-42-2587-01A-01-TS1', 'entity_type': 'slide', 'case_id': 'eef62876-7d17-496a-8971-2c7008d77014', 'entity_id': 'f9c60f94-e626-4e40-8490-259f02d9ec15'}]",TCGA-42-2587-01A-01-TS1.f9c60f94-e626-4e40-8490-259f02d9ec15.svs,TCGA.42.2587,Biospecimen,"[{'entity_submitter_id': 'TCGA-42-2587', 'notes': '[intgen.org]: Pathology Results off Spec', 'submitter_id': '646', 'classification': 'Notification', 'entity_id': 'eef62876-7d17-496a-8971-2c7008d77014', 'created_datetime': '2010-09-02T00:00:00', 'annotation_id': 'f112fffb-7efb-51d0-aafe-882a73aac67b', 'entity_type': 'case', 'updated_datetime': '2018-08-23T16:44:52.002023-05:00', 'case_id': 'eef62876-7d17-496a-8971-2c7008d77014', 'state': 'released', 'category': 'Pathology outside specification', 'status': 'Approved', 'case_submitter_id': 'TCGA-42-2587'}]",138771709,c9d89dc3808a0df5bcfb7fe39994b8ca,d93b71fa-bfe0-4402-876a-b51edef5ef86,Slide Image,released,Tissue Slide,1.9102977751515868,1.849745318426708,2.0518390745662183,1.8166634415941965,1.9994644568530733,1.9791238451649689,1.9219979461517842,2.0510034861669872,2.176636308170938,2.089763090751707,2.1414181902724883,2.156726604389378,2.0383851446894683,2.139619004712152,1.782062606249191,2.2326346202962304,2.009153188561658,2.0098904787187206,1.7799398924227128,2.062486107280422,1.8493992486744695,2.002573996172855,1.957090275026971,2.1096554690858453,2.2277861129185625,2.1252391373413366,1.7772547830251733,2.068671249750447,2.15334234951937,2.0262780785637697,1.9870658021910554,2.160929358526104,2.0285297534569215,2.0777025304759795,2.1338231871978373,TCGA-42-2587-01A-01-TS1.f9c60f94-e626-4e40-8490-259f02d9ec15.h5,TCGA-42-2587-01A
SVS,open,"[{'entity_submitter_id': 'TCGA-29-2414-01A-02-BS2', 'entity_type': 'slide', 'case_id': 'a2319490-b85d-4219-a1b0-fa1ec432d5c8', 'entity_id': '5006bae6-462f-4310-b8ab-8d7d8809cc0f'}]",TCGA-29-2414-01A-02-BS2.5006bae6-462f-4310-b8ab-8d7d8809cc0f.svs,TCGA.29.2414,Biospecimen,"[{'entity_submitter_id': 'TCGA-29-2414', 'notes': 'This is part of the ovarian triplet set.', 'submitter_id': '1251', 'classification': 'Notification', 'entity_id': 'a2319490-b85d-4219-a1b0-fa1ec432d5c8', 'created_datetime': '2011-01-28T00:00:00', 'annotation_id': 'db1fe169-120b-5592-9027-6e99810057d4', 'entity_type': 'case', 'updated_datetime': '2018-08-23T16:32:20.747393-05:00', 'case_id': 'a2319490-b85d-4219-a1b0-fa1ec432d5c8', 'state': 'released', 'category': 'Item in special subset', 'status': 'Approved', 'case_submitter_id': 'TCGA-29-2414'}]",141220505,0ef0c1307832bc2c94ad65b2e64eedc4,9d990512-1576-4625-8fbd-a8b46fbbdf99,Slide Image,released,Tissue Slide,1.880517930288261,1.5449207244023102,2.0426478808508235,1.9706585092206796,2.0085898007078846,1.8505942549489474,2.0606409122161184,2.184330696264484,1.9405386052534024,2.0927772248648657,2.163472439785048,2.209723911942758,2.1844544969455457,2.121410877751975,1.8531210743075586,2.164299560189703,2.1168457020535723,2.100664728131361,1.8232742860278193,2.108004702804151,1.9974991140137264,2.0068439667632503,1.9890927836424475,2.1519366066549566,2.303134941799481,2.1917987731354494,1.7903084169607402,2.030684501961783,2.343525480505574,2.2243424309325617,1.899941002072583,2.0859826022232166,1.845205444933681,2.0547901782387066,1.8759933815200593,TCGA-29-2414-01A-02-BS2.5006bae6-462f-4310-b8ab-8d7d8809cc0f.h5,TCGA-29-2414-01A
SVS,open,"[{'entity_submitter_id': 'TCGA-29-2414-02A-01-TS1', 'entity_type': 'slide', 'case_id': 'a2319490-b85d-4219-a1b0-fa1ec432d5c8', 'entity_id': '9e8b6cda-a655-40f9-a448-d45218dc54c8'}]",TCGA-29-2414-02A-01-TS1.9e8b6cda-a655-40f9-a448-d45218dc54c8.svs,TCGA.29.2414,Biospecimen,"[{'entity_submitter_id': 'TCGA-29-2414', 'notes': 'This is part of the ovarian triplet set.', 'submitter_id': '1251', 'classification': 'Notification', 'entity_id': 'a2319490-b85d-4219-a1b0-fa1ec432d5c8', 'created_datetime': '2011-01-28T00:00:00', 'annotation_id': 'db1fe169-120b-5592-9027-6e99810057d4', 'entity_type': 'case', 'updated_datetime': '2018-08-23T16:32:20.747393-05:00', 'case_id': 'a2319490-b85d-4219-a1b0-fa1ec432d5c8', 'state': 'released', 'category': 'Item in special subset', 'status': 'Approved', 'case_submitter_id': 'TCGA-29-2414'}]",99784483,04cb8fd6eb96121626209cea1cf993d5,26438d97-7bd3-4f4c-9f09-38d5cef705a0,Slide Image,released,Tissue Slide,1.880517930288261,1.5449207244023102,2.0426478808508235,1.9706585092206796,2.0085898007078846,1.8505942549489474,2.0606409122161184,2.184330696264484,1.9405386052534024,2.0927772248648657,2.163472439785048,2.209723911942758,2.1844544969455457,2.121410877751975,1.8531210743075586,2.164299560189703,2.1168457020535723,2.100664728131361,1.8232742860278193,2.108004702804151,1.9974991140137264,2.0068439667632503,1.9890927836424475,2.1519366066549566,2.303134941799481,2.1917987731354494,1.7903084169607402,2.030684501961783,2.343525480505574,2.2243424309325617,1.899941002072583,2.0859826022232166,1.845205444933681,2.0547901782387066,1.8759933815200593,TCGA-29-2414-02A-01-TS1.9e8b6cda-a655-40f9-a448-d45218dc54c8.h5,TCGA-29-2414-02A
SVS,open,"[{'entity_submitter_id': 'TCGA-42-2588-01A-01-TS1', 'entity_type': 'slide', 'case_id': '654d02ab-05b4-4863-99d9-04d087ff91b4', 'entity_id': 'cc3b36dc-1ce9-4db3-998b-fa73058fe4fd'}]",TCGA-42-2588-01A-01-TS1.cc3b36dc-1ce9-4db3-998b-fa73058fe4fd.svs,TCGA.42.2588,Biospecimen,"[{'entity_submitter_id': 'TCGA-42-2588', 'notes': '[intgen.org]: Pathology Results off Spec', 'submitter_id': '647', 'classification': 'Notification', 'entity_id': '654d02ab-05b4-4863-99d9-04d087ff91b4', 'created_datetime': '2010-09-02T00:00:00', 'annotation_id': 'de434121-ae13-5587-a632-94874aa31e57', 'entity_type': 'case', 'updated_datetime': '2018-08-23T16:44:52.002023-05:00', 'case_id': '654d02ab-05b4-4863-99d9-04d087ff91b4', 'state': 'released', 'category': 'Pathology outside specification', 'status': 'Approved', 'case_submitter_id': 'TCGA-42-2588'}]",116102537,9f04fbc5ce72fabcb0a1009372df12c5,525e99fd-2d3f-49b9-bf2f-bbacce843c16,Slide Image,released,Tissue Slide,1.986530980486488,1.881371627917742,2.0734360447279188,1.869353026333158,2.044888916032521,2.012179314620668,2.013448630095693,1.760819046321418,2.0052297179798826,2.1667997335222413,2.1340244194501277,2.1325438238618863,2.0785036019518595,2.1045487024795655,1.9716892791856058,2.1996549549079285,2.0759354023505483,2.0531745654291162,1.8698155895583786,2.1152308936720163,1.8171347755592833,2.0684058720595715,1.9318981522217569,2.179976683926666,2.278005474019655,2.1195632910856976,1.7595805708638197,2.028161405100458,2.2105136627735567,2.1596380836741123,1.8514267702139953,2.1509595556426344,2.01552949093537,1.9712297427522945,1.9044927392152944,TCGA-42-2588-01A-01-TS1.cc3b36dc-1ce9-4db3-998b-fa73058fe4fd.h5,TCGA-42-2588-01A
SVS,open,"[{'entity_submitter_id': 'TCGA-24-1416-01A-01-BS1', 'entity_type': 'slide', 'case_id': 'f9793a4b-c0e7-4475-bf80-69543b7ee2f6', 'entity_id': '9af08ca1-7925-4689-9ade-e5a848e9ca19'}]",TCGA-24-1416-01A-01-BS1.9af08ca1-7925-4689-9ade-e5a848e9ca19.svs,TCGA.24.1416,Biospecimen,,160023955,d3d86ff3007ce6ac4adf69bd91dee64d,3170f418-ead5-48b7-9e49-6bc256f36e75,Slide Image,released,Tissue Slide,1.9717032012360454,1.5616122829514958,2.102181028649325,1.9776717937146606,2.0574643016263385,1.9188472295056243,2.1377222421871114,1.986256601952143,2.054674863846702,2.1415004285638575,1.912722628113289,2.2169836306983197,2.145849408251998,2.023334046020117,1.8775548293910411,2.227980074256211,2.039894775377003,2.0895527506805296,1.9047458340453225,2.0783659634529026,1.941586529956149,2.023294381056835,1.9616569435222317,2.223152199346135,2.286567493434166,2.179942770101692,1.7627253626429995,2.073486344641162,2.2147042472168645,2.2507864077601583,1.830451196339041,2.075333113635293,1.8828182001750216,2.007166504059421,1.8615187136429077,TCGA-24-1416-01A-01-BS1.9af08ca1-7925-4689-9ade-e5a848e9ca19.h5,TCGA-24-1416-01A
SVS,open,"[{'entity_submitter_id': 'TCGA-25-1635-01A-01-TS1', 'entity_type': 'slide', 'case_id': 'bc2591b0-65d7-48c3-a5cc-783f67b65869', 'entity_id': 'e3fb13c5-3313-4116-9aff-2dd97b81cace'}]",TCGA-25-1635-01A-01-TS1.e3fb13c5-3313-4116-9aff-2dd97b81cace.svs,TCGA.25.1635,Biospecimen,,438392073,c3ab37ec807838c15042be1d5822c4da,4c90835a-125c-41a1-a2db-42d5a578c4f7,Slide Image,released,Tissue Slide,1.9014505942463278,1.738446592997634,2.0590730042867387,1.8850676463617067,2.269462548158558,1.812297120445603,2.090604008885947,1.6507525855683132,2.0035589188416076,2.0534696736910814,2.1691222694471817,2.0228844176171865,2.121434849944233,2.1402543810763484,1.860383383769874,2.210919264467297,1.9996810858361704,2.0004253902504248,1.8351062737314208,1.9989362270201858,1.926552565569587,2.024826948406613,1.9168343729949808,2.26200265311162,2.170743700086622,2.223130545653638,1.7704847589492,2.054367293775971,2.2830454311194286,2.0804535294474387,1.8550472084639735,2.119142908531388,2.0216800048212886,2.0653679719484765,2.0286481223339363,TCGA-25-1635-01A-01-TS1.e3fb13c5-3313-4116-9aff-2dd97b81cace.h5,TCGA-25-1635-01A
SVS,open,"[{'entity_submitter_id': 'TCGA-04-1351-01A-01-TS1', 'entity_type': 'slide', 'case_id': '12b032ed-ff92-4bfe-b980-eb273ae8ae17', 'entity_id': '22068141-7bbe-4f0e-9b33-0856a213e4a0'}]",TCGA-04-1351-01A-01-TS1.22068141-7bbe-4f0e-9b33-0856a213e4a0.svs,TCGA.04.1351,Biospecimen,,132208487,e86edff21ca0a814834cbab10a285d9b,c8d71080-7dc2-42d7-8880-9012c77bc467,Slide Image,released,Tissue Slide,1.9189352912663291,1.5042773767789401,2.0986680226434307,1.9522045831894335,2.030684501961783,1.7644054014390405,2.1532726898070367,1.9589391870246895,2.091271293433413,2.1260984797586047,1.942418345513168,2.187219133853267,2.31153492351363,2.0403628184455087,2.1525409697095794,2.160664322024417,2.085696935842344,2.225650051519923,1.847257245713477,1.9487632180377197,1.953424701096349,1.9100164666209014,2.0093811362955707,2.160330045413174,2.276497758230727,2.273938674403924,1.7864956395529559,1.9958425178035222,2.186388298591534,1.9136083023906834,1.8499969303166974,2.1130818092237913,1.9067831457968367,2.0756468509393486,2.007005248415124,TCGA-04-1351-01A-01-TS1.22068141-7bbe-4f0e-9b33-0856a213e4a0.h5,TCGA-04-1351-01A
SVS,open,"[{'entity_submitter_id': 'TCGA-25-1635-01A-01-BS1', 'entity_type': 'slide', 'case_id': 'bc2591b0-65d7-48c3-a5cc-783f67b65869', 'entity_id': 'bf595f95-9e5f-4b08-8d7e-0b7b08a7c6ee'}]",TCGA-25-1635-01A-01-BS1.bf595f95-9e5f-4b08-8d7e-0b7b08a7c6ee.svs,TCGA.25.1635,Biospecimen,,489407243,21fc9e571031f54522bcc11a9be04f05,93505900-ec90-4972-a9f4-d99350a2623c,Slide Image,released,Tissue Slide,1.9014505942463278,1.738446592997634,2.0590730042867387,1.8850676463617067,2.269462548158558,1.812297120445603,2.090604008885947,1.6507525855683132,2.0035589188416076,2.0534696736910814,2.1691222694471817,2.0228844176171865,2.121434849944233,2.1402543810763484,1.860383383769874,2.210919264467297,1.9996810858361704,2.0004253902504248,1.8351062737314208,1.9989362270201858,1.926552565569587,2.024826948406613,1.9168343729949808,2.26200265311162,2.170743700086622,2.223130545653638,1.7704847589492,2.054367293775971,2.2830454311194286,2.0804535294474387,1.8550472084639735,2.119142908531388,2.0216800048212886,2.0653679719484765,2.0286481223339363,TCGA-25-1635-01A-01-BS1.bf595f95-9e5f-4b08-8d7e-0b7b08a7c6ee.h5,TCGA-25-1635-01A
SVS,open,"[{'entity_submitter_id': 'TCGA-04-1351-01A-01-BS1', 'entity_type': 'slide', 'case_id': '12b032ed-ff92-4bfe-b980-eb273ae8ae17', 'entity_id': '6d0fae8c-a9f3-4ab9-ab8a-d0fb03891610'}]",TCGA-04-1351-01A-01-BS1.6d0fae8c-a9f3-4ab9-ab8a-d0fb03891610.svs,TCGA.04.1351,Biospecimen,,187152031,6d16cb1aae34ccb433f46e335a91196f,4e9583c3-048b-4269-a77a-f5120f300ddf,Slide Image,released,Tissue Slide,1.9189352912663291,1.5042773767789401,2.0986680226434307,1.9522045831894335,2.030684501961783,1.7644054014390405,2.1532726898070367,1.9589391870246895,2.091271293433413,2.1260984797586047,1.942418345513168,2.187219133853267,2.31153492351363,2.0403628184455087,2.1525409697095794,2.160664322024417,2.085696935842344,2.225650051519923,1.847257245713477,1.9487632180377197,1.953424701096349,1.9100164666209014,2.0093811362955707,2.160330045413174,2.276497758230727,2.273938674403924,1.7864956395529559,1.9958425178035222,2.186388298591534,1.9136083023906834,1.8499969303166974,2.1130818092237913,1.9067831457968367,2.0756468509393486,2.007005248415124,TCGA-04-1351-01A-01-BS1.6d0fae8c-a9f3-4ab9-ab8a-d0fb03891610.h5,TCGA-04-1351-01A
